yemek_id,yemek_adi,kalori (kcal),protein (g),karbonhidrat (g),yag (g),porsiyon_turu,minimum_porsiyon_boyutu,porsiyon_artıs_birimi,porsiyon_metrik_türü,porsiyon_metrik,ana_bilesenler,tarif,maksimum_porsiyon
99,Glutensiz Ekmek,36.5,0.1,8.17,0.38,dilim,0.5,0.5,gram,30,"pirinç unu, mısır nişastası, yumurta, zeytinyağı","Pirinç unu, mısır nişastası, yumurta ve zeytinyağını karıştırarak hamur elde edin. Hamuru kalıba dökün ve önceden ısıtılmış fırında pişirin.",10.0
100,Sebzeli Tavuklu Kuskus,37.4,1.8,5.3,1.0,yemek kaşığı,3.0,1.0,gram,25,"tavuk göğsü, kuskus, biber, havuç, kabak","Tavuk göğsünü küp şeklinde doğrayın ve tavada soteleyin. Doğranmış biber, havuç ve kabak ekleyip pişirin. Ayrı bir tencerede kuskusu haşlayın ve sebzeli tavuk karışımına ekleyin. Karıştırarak servis yapın.",21.0
101,Izgara Tavuk Kanat,99.0,9.0,0.0,7.0,adet,1.0,1.0,gram,30,"tavuk kanat, zeytinyağı, tuz, karabiber","Tavuk kanatları zeytinyağı, tuz ve karabiberle marine edin. Izgarada her iki tarafını da kızarana kadar pişirin.",10.0
102,Mozzarella Peynirli Domatesli Tost,215.25,8.65,26.6,8.25,adet,1.0,1.0,gram,170,"mozzarella peyniri, domates, ekmek",Ekmek dilimlerinin arasına mozzarella peyniri ve dilimlenmiş domates koyun. Tost makinesinde peynir eriyene kadar pişirin.,5.0
103,Etli Güveç,71.4,7.4,5.5,2.2,tabak,0.5,0.5,gram,250,"kırmızı et, patates, havuç, domates, soğan","Küp doğranmış et, soğan, havuç ve patates ile birlikte güveçte pişirilir. Üzerine domates sosu eklenir ve kısık ateşte pişmeye bırakılır.",4.0
104,Böğürtlen,27.5,1.4,3.0,1.1,kase,0.5,0.5,gram,225,böğürtlen,Taze böğürtlenleri yıkayın ve bir kaseye koyarak servis edin.,3.0
105,Kıymalı Türlü,29.299999999999997,1.6,1.45,1.9,yemek kaşığı,4.0,1.0,gram,30,"kıyma, patates, patlıcan, kabak, domates, biber","Kıyma, doğranmış sebzelerle birlikte zeytinyağında kavrulur. Domates eklenip pişirilir, baharatlarla tatlandırılır ve su eklenerek kısık ateşte pişirilir.",20.0
106,Köfte,49.58,3.92,1.5,3.1,adet,1.0,1.0,gram,30,"kıyma, soğan, ekmek içi, yumurta, baharatlar","Kıyma, rendelenmiş soğan, ufalanmış ekmek içi, yumurta ve baharatları karıştırıp yoğurun. Küçük parçalar alarak yuvarlayın ve şekil verin. Tavada veya ızgarada pişirin.",10.0
107,Keçi Peyniri,66.82999999999998,4.63,0.22,5.27,dilim,1.0,1.0,gram,25,"keçi sütü, tuz, peynir mayası","Keçi sütü, peynir mayası ve tuz ile yapılan taze peynir. Süt ısıtılır, maya eklenir ve kesilen süt pıhtısı süzülerek kalıplara alınır.",5.0
108,Kısır,88.5,2.3,16.0,1.7,kase,0.5,0.5,gram,110,"bulgur, domates, salatalık, maydanoz, zeytinyağı, limon suyu","Bulgur sıcak su ile ıslatılır ve demlenir. Domates, salatalık ve maydanoz ince doğranır. Tüm malzemeler karıştırılır, zeytinyağı ve limon suyu eklenerek servis edilir.",4.0
109,Et Sote,40.2,3.3,0.9,2.6,yemek kaşığı,4.0,1.0,gram,30,"dana eti, soğan, biber, domates, sıvı yağ","Dana eti küp şeklinde doğranır ve sıvı yağda kavrulur. Üzerine doğranmış soğan, biber ve domates eklenir. Orta ateşte pişirilir ve baharatlarla tatlandırılır.",20.0
110,Kuru Kayısı,13.2,0.3,3.0,0.0,adet,1.0,1.0,gram,6,kuru kayısı,"Kuru kayısılar, doğal olarak kurutulmuş kayısı meyveleridir. Atıştırmalık olarak tüketilebilir veya tatlılarda kullanılabilir.",15.0
111,Tavuklu Nohut,31.04,1.8,3.8,0.96,yemek kaşığı,4.0,1.0,gram,20,"tavuk, nohut, soğan, domates, zeytinyağı","Tavuk parçalarını zeytinyağında soteleyin. Üzerine doğranmış soğan ve domates ekleyip kavurun. Haşlanmış nohutları ilave edin, baharatlarla tatlandırarak pişirin.",20.0
112,Zeytinli Kaşarlı Sandviç,281.82,11.88,36.3,9.9,adet,1.0,1.0,gram,210,"ekmek, kaşar peyniri, zeytin",Ekmek dilimlerinin arasına kaşar peyniri ve dilimlenmiş zeytin koyarak hazırlayın. Sandviçi tost makinesinde veya fırında ısıtın.,5.0
113,Etli Taze Fasulye,26.18,2.0,0.72,1.7,yemek kaşığı,4.0,1.0,gram,30,"taze fasulye, dana eti, domates, soğan, zeytinyağı",Soğanı ve eti zeytinyağında kavurun. Doğranmış taze fasulyeyi ekleyin. Üzerine rendelenmiş domatesi ekleyin ve kısık ateşte pişirin.,20.0
114,Kuzu Tandır,274.0,33.2,4.25,13.8,tabak,0.5,0.5,gram,275,"kuzu eti, soğan, sarımsak, zeytinyağı, baharatlar","Kuzu eti, soğan ve sarımsakla birlikte zeytinyağında kavrulur, ardından baharatlar eklenerek fırında uzun süre pişirilir.",3.0
115,Yumurtalı Ekmek,123.77000000000001,4.57,14.92,5.09,dilim,1.0,1.0,gram,50,"ekmek, yumurta, süt, yağ","Ekmek dilimlerini çırpılmış yumurta ve süt karışımına batırın, ardından yağda kızartın.",10.0
116,Tavuklu Salata,64.5,10.0,3.2,1.3,kase,0.5,0.5,gram,200,"tavuk göğsü, marul, domates, salatalık, zeytinyağı","Tavuk göğsünü haşlayın veya ızgarada pişirin. Marul, domates ve salatalığı doğrayın. Tüm malzemeleri bir kasede karıştırın, üzerine zeytinyağı gezdirin ve servis yapın.",4.0
117,Kuzu İncik,222.6,19.2,2.7,15.0,tabak,0.5,0.5,gram,360,"kuzu incik, soğan, sarımsak, havuç, patates, zeytinyağı, baharatlar","Kuzu incikleri zeytinyağında mühürleyin, doğranmış soğan, sarımsak, havuç ve patates ekleyin. Baharatlarla tatlandırıp fırında pişirin.",4.0
118,Çılbır,135.1,6.25,2.1,11.3,tabak,1.0,1.0,gram,120,"yumurta, yoğurt, tereyağı, kırmızı biber",Suda kaynayan sirke eklenmiş suya yumurtalar kırılır ve pişirilir. Üzerine sarımsaklı yoğurt dökülür ve eritilmiş tereyağında kırmızı biber kızdırılarak gezdirilir.,3.0
119,Etli Sebzeli Güveç,71.4,7.4,5.5,2.2,tabak,0.5,0.5,gram,250,"kırmızı et, patates, havuç, soğan, domates","Küp doğranmış kırmızı et, patates, havuç, soğan ve domatesi bir güveç kabına koyun. Üzerine baharat ve su ekleyip fırında pişirin.",4.0
120,Kuzu Pirzola,110.00999999999999,6.58,2.27,8.29,adet,1.0,1.0,gram,60,"kuzu pirzola, zeytinyağı, tuz, karabiber","Kuzu pirzolaları zeytinyağı, tuz ve karabiber ile marine edip ızgarada veya tavada her iki tarafını da kızarana kadar pişirin.",10.0
121,Kuru İncir,52.35,0.66,12.0,0.19,adet,1.0,1.0,gram,20,kuru incir,Kuru incirler yıkanır ve doğrudan tüketilir.,10.0
122,Kahve,0.0,0.0,0.0,0.0,fincan,1.0,1.0,ml,60,"kahve, su",Kahve çekirdeklerini öğütün ve sıcak su ile demleyin.,5.0
123,Meyve Tabağı,184.70000000000002,2.6,42.0,0.7,tabak,0.5,0.5,gram,600,"elma, muz, portakal, üzüm, kivi",Tüm meyveleri yıkayın ve eşit büyüklükte dilimleyin. Bir kaseye yerleştirip karıştırın.,4.0
124,Kıymalı Patlıcan,19.700000000000003,1.2,0.8,1.3,yemek kaşığı,4.0,1.0,gram,30,"patlıcan, kıyma, domates, soğan, biber","Patlıcanlar dilimlenip tuzlu suda bekletilir. Soğan ve biber kavrulur, kıyma eklenip pişirilir. Domates eklenip karıştırılır. Patlıcanlar tavaya dizilip üzerine kıymalı karışım eklenir. Orta ateşte pişirilir.",20.0
125,Sucuklu Yumurta,121.56,6.74,1.69,9.76,adet,1.0,1.0,gram,50,"sucuk, yumurta, tereyağı","Tavada tereyağını erit, dilimlenmiş sucuğu ekle ve kızart. Üzerine yumurtaları kır ve pişir.",10.0
126,Peynirli Sandviç,193.6,7.0,24.3,7.6,adet,1.0,1.0,gram,80,"tam buğday ekmeği, peynir, marul, domates","Tam buğday ekmeğinin arasına dilimlenmiş peynir, marul ve domates yerleştirilir.",5.0
127,Portakal Suyu,123.29,0.8,29.28,0.33,su bardağı,1.0,1.0,ml,200,portakal,Taze portakalları sıkın ve suyunu bir bardağa doldurun.,5.0
128,Kaşarlı Omlet,242.13,15.35,1.6,19.37,adet,1.0,1.0,gram,90,"yumurta, kaşar peyniri, tereyağı","Yumurtaları çırpın, tereyağında pişirin ve üzerine rendelenmiş kaşar peyniri ekleyin.",5.0
129,Zeytinli Poğaça,270.4,5.0,23.9,17.2,adet,1.0,1.0,gram,80,"un, zeytin, yoğurt, zeytinyağı, maya","Un, maya, yoğurt ve zeytinyağı karıştırılarak hamur yapılır. Hamurdan parçalar koparılarak içine zeytin eklenir ve şekil verilir. 180 derecede önceden ısıtılmış fırında 20-25 dakika pişirilir.",5.0
130,Sebzeli Köfte,247.7,14.1,20.6,12.1,tabak,1.0,1.0,gram,375,"kıyma, patates, havuç, soğan, maydanoz","Kıyma, rendelenmiş patates, havuç, ince doğranmış soğan ve maydanoz karıştırılır. Baharatlar eklenir, şekil verilir ve fırında pişirilir.",5.0
131,Peynirli Krep,444.4,27.7,13.2,31.2,adet,1.0,1.0,gram,375,"un, süt, yumurta, peynir","Un, süt ve yumurtayı karıştırarak krep hamuru hazırlayın. Tavada pişirip üzerine rendelenmiş peynir ekleyin ve peynir eriyene kadar pişirin.",10.0
132,Fırın Makarna,151.5,6.1,17.6,6.3,tabak,0.5,0.5,gram,250,"makarna, peynir, süt, yumurta, tereyağı","Makarnayı haşlayın ve süzün. Bir kapta süt, yumurta ve rendelenmiş peyniri karıştırın. Haşlanmış makarnayı bu karışıma ekleyin ve karıştırın. Yağlanmış fırın tepsisine karışımı dökün, üzerine tereyağı parçaları ekleyin ve üzeri kızarana kadar fırında pişirin.",4.0
133,Izgara tavuk göğsü,34.199999999999996,8.1,0.0,0.2,adet,1.0,1.0,gram,30,"tavuk göğsü, zeytinyağı, tuz, karabiber","Tavuk göğsünü zeytinyağı, tuz ve karabiber ile marine edin. Izgarada her iki tarafını da yaklaşık 6-7 dakika pişirin.",20.0
134,Köy ekmeği,122.53,4.7,23.75,0.97,dilim,1.0,1.0,gram,50,"tam buğday unu, su, maya, tuz","Tam buğday unu, su, maya ve tuz karıştırılarak hamur yapılır, mayalanmaya bırakılır ve ardından pişirilir.",10.0
135,Etli nohut yemeği,31.689999999999998,2.58,1.27,1.81,yemek kaşığı,4.0,1.0,gram,20,"nohut, et, domates, soğan, zeytinyağı","Nohut ve et önceden haşlanır. Zeytinyağında soğan kavrulur, domates eklenir. Haşlanmış nohut ve et eklenip baharatlarla tatlandırılır, pişirilir.",20.0
136,Kıymalı ıspanak,10.680000000000001,0.74,0.67,0.56,yemek kaşığı,4.0,1.0,gram,15,"ıspanak, kıyma, soğan, domates salçası, zeytinyağı","Ispanaklar yıkanır ve doğranır. Soğanlar zeytinyağında kavrulur, kıyma eklenir ve pişirilir. Salça ilave edilip karıştırılır. Doğranmış ıspanaklar eklenir ve kısık ateşte pişirilir.",20.0
137,Patates püresi,28.03,0.54,2.26,1.87,yemek kaşığı,2.0,1.0,gram,15,"patates, süt, tereyağı, tuz",Patatesleri haşlayın ve ezin. Süt ve tereyağı ekleyerek pürüzsüz bir kıvam alana kadar karıştırın. Tuzla tatlandırın.,10.0
138,Süzme yoğurt,103.0,8.7,4.0,5.8,kase,0.5,0.5,gram,200,"süt, yoğurt kültürü","Süt, yoğurt kültürü ile mayalanarak yoğurt haline getirilir ve ardından süzülerek suyu azaltılır.",5.0
139,Bal,54.0,0.0,13.5,0.0,yemek kaşığı,1.0,1.0,gram,18,bal,"Bal, arıların çiçek nektarını toplayıp işleyerek ürettiği tatlı bir sıvıdır.",10.0
140,Domatesli pilav,19.400000000000002,0.4,4.0,0.2,yemek kaşığı,3.0,1.0,gram,25,"pirinç, domates, su, zeytinyağı, tuz",Pirinçleri yıkayın ve süzün. Zeytinyağında doğranmış domatesleri kavurun. Pirinçleri ekleyip biraz daha kavurun. Üzerine su ve tuz ekleyip kaynatın. Kısık ateşte suyunu çekene kadar pişirin.,21.0
141,Çoban salata,41.0,0.8,2.7,3.0,kase,0.5,0.5,gram,200,"domates, salatalık, biber, soğan, zeytinyağı","Domates, salatalık, biber ve soğanı doğrayın. Üzerine zeytinyağı, limon suyu, tuz ve isteğe bağlı olarak maydanoz ekleyin ve karıştırın.",4.0
142,Tavuklu karnabahar yemeği,51.3,5.75,1.9,2.3,tabak,0.5,0.5,gram,200,"tavuk, karnabahar, soğan, sarımsak, zeytinyağı","Tavukları küp şeklinde doğrayın ve zeytinyağında kavurun. Üzerine doğranmış soğan, sarımsak ve karnabahar ekleyin. Baharatlarla tatlandırıp kısık ateşte pişirin.",5.0
143,Kıymalı lahana dolması,28.620000000000005,2.13,2.1,1.3,adet,1.0,1.0,gram,50,"lahana, kıyma, pirinç, soğan, salça","Lahana yapraklarını haşlayın. Kıyma, pirinç, soğan ve salçayı karıştırarak iç harcı hazırlayın. Harcı lahana yapraklarına sararak tencereye dizin. Üzerine su ve salça ekleyip pişirin.",15.0
144,Sebzeli mercimek çorbası,59.02,2.93,8.9,1.3,kase,0.5,0.5,gram,350,"mercimek, havuç, patates, soğan, sarımsak, zeytinyağı","Mercimek, doğranmış havuç, patates ve soğanı zeytinyağında kavurun. Üzerine su ekleyip mercimekler yumuşayana kadar pişirin. Sarımsak ekleyip blenderdan geçirin ve sıcak servis edin.",4.0
145,Sütlü Yulaflı Pankek,98.52,3.96,7.17,6.0,adet,1.0,1.0,gram,45,"yulaf, süt, yumurta, kabartma tozu, şeker","Yulaf, süt ve yumurtayı karıştırarak hamur elde edin. Kabartma tozunu ekleyin ve tavada pişirin.",10.0
146,"Meyve Salatası (elma, armut)",70.25,0.5,16.5,0.25,kase,0.5,0.5,gram,250,"elma, armut","Elma ve armut küp küp doğranarak bir kaseye alınır, isteğe bağlı olarak limon suyu eklenir.",4.0
147,Tavuklu Pilav,37.4,1.8,5.3,1.0,yemek kaşığı,3.0,1.0,gram,25,"tavuk, pirinç, sebzeler, baharatlar","Tavuklar haşlanıp didiklenir, pirinç su ile pişirilir ve tüm malzemeler bir arada karıştırılarak servis edilir.",21.0
148,Domates Salatası,44.6,1.3,4.0,2.6,kase,0.5,0.5,gram,275,"domates, soğan, maydanoz, zeytinyağı, limon suyu","Domatesler doğranır, soğan ve maydanoz eklenir, zeytinyağı ve limon suyu ile karıştırılır.",4.0
149,Salata (karışık yeşil),34.5,0.85,4.4,1.5,kase,1.0,1.0,gram,150,"marul, roka, salatalık, domates, zeytinyağı","Karışık yeşil salata için marul, roka, salatalık ve domates doğranır, üzerine zeytinyağı eklenerek servis edilir.",4.0
150,Domatesli Peynirli Omlet,257.0,10.2,5.0,21.8,adet,1.0,1.0,gram,120,"yumurta, domates, beyaz peynir, zeytinyağı","Yumurtaları çırpın, doğranmış domates ve beyaz peyniri ekleyip tavada pişirin.",5.0
151,Havuç,25.3,0.7,5.4,0.1,adet,1.0,1.0,gram,80,havuç,Havuçlar soyulup dilimlenir ve istenirse buharda pişirilir veya haşlanır.,5.0
152,Kavurma,101.76,6.18,0.0,8.56,yemek kaşığı,4.0,1.0,gram,30,"kırmızı et, tuz, baharatlar","Etler kuşbaşı doğranır, tavada yağ ile kavrulur ve baharatlarla lezzetlendirilir.",20.0
153,Sebze Güveci,18.32,0.47,1.86,1.0,yemek kaşığı,4.0,1.0,gram,30,"patates, havuç, kabak, biber, domates, soğan, sarımsak","Sebzeleri doğrayıp zeytinyağı ile soteleyin, ardından su ekleyip pişirin.",20.0
154,Bulgur Salatası,187.2,5.2,27.2,6.4,kase,1.0,1.0,gram,150,"bulgur, domates, salatalık, soğan, maydanoz, zeytinyağı, limon suyu","Bulgur haşlanır, ardından doğranmış sebzeler ve sos ile karıştırılır.",4.0
155,Sahanda Yumurta,138.48000000000002,6.67,1.4,11.8,adet,1.0,1.0,gram,60,"yumurta, yağ",Yumurtayı bir tavada yağ ile kızartarak pişirin.,10.0
156,Tavuk Sote,59.46,5.86,1.58,3.3,yemek kaşığı,4.0,1.0,gram,30,"tavuk, soğan, biber, zeytinyağı, baharatlar","Tavuk parçaları, soğan ve biberle birlikte zeytinyağında sotelenir, baharatlarla tatlandırılır.",20.0
157,Kahvaltılık Sucuk,23.6,1.0,0.4,2.0,dilim,1.0,1.0,gram,7,"sucuk, baharatlar, yağ",Sucuk dilimleri tavada kızartılarak servis edilir.,15.0
158,Tavuk Kebabı,37.6,0.61,5.55,1.44,yemek kaşığı,1.0,1.0,gram,30,"tavuk, baharatlar, sebzeler","Tavuk parçaları baharatlarla marine edilir, şişe dizilir ve ızgarada pişirilir.",15.0
159,Havuç Salatası,70.22,1.0,9.13,3.3,kase,1.0,1.0,gram,100,"havuç, limon suyu, zeytinyağı, tuz, maydanoz","Havuçlar rendelenir, limon suyu ve zeytinyağı ile karıştırılır, tuz ve maydanoz eklenir.",4.0
160,Tavuk Güveç,59.46,5.86,1.58,3.3,yemek kaşığı,4.0,1.0,gram,30,"tavuk, sebzeler, zeytinyağı, baharatlar",Tavuk parçaları sebzelerle birlikte güveçte pişirilir.,15.0
161,Zeytinyağlı Biber,83.7,2.8,8.0,4.5,kase,1.0,1.0,gram,150,"biber,zeytinyağı,soğan,domates,sarımsak","Biberler, zeytinyağı, soğan, domates ve sarımsak ile birlikte pişirilir.",4.0
162,Yumurta Salatası,149.7,11.34,3.36,10.1,kase,1.0,1.0,gram,150,"yumurta, tuz, karabiber, yeşil soğan","Haşlanmış yumurtaları doğrayın, tuz ve karabiber ekleyin, yeşil soğan ile süsleyin.",4.0
163,Armut,126.67999999999999,0.72,30.5,0.2,adet,1.0,1.0,gram,200,armut,"Taze armut, kabuğu ile birlikte dilimlenerek servis edilir.",5.0
164,Tavuk Izgara,108.7,18.0,2.2,3.1,adet,1.0,1.0,gram,100,"tavuk, zeytinyağı, baharatlar",Tavuk göğsü zeytinyağı ve baharatlarla marine edilip ızgarada pişirilir.,10.0
165,Kıymalı Domates Soslu Makarna,15.399999999999999,0.7,1.8,0.6,yemek kaşığı,3.0,1.0,gram,15,"makarna,kıyma,domates,soğan,sarımsak","Makarnayı haşlayın. Ayrı bir tavada kıymayı, soğanı ve sarımsağı kavurun, ardından domates ekleyip sosu hazırlayın. Haşlanmış makarnayı sosla karıştırın ve servis yapın.",21.0
166,Zeytinyağlı Bezelye,19.34,0.66,2.6,0.7,yemek kaşığı,4.0,1.0,gram,35,"bezelye,zeytinyağı,soğan,havuç,limon suyu","Bezelyeler zeytinyağı ile sotelenir, soğan ve havuç eklenerek pişirilir.",20.0
167,"Kahvaltılık Salata (domates, salatalık, biber)",13.720000000000002,0.78,2.2,0.2,kase,1.0,1.0,gram,100,"domates, salatalık, biber","Domates, salatalık ve biberi doğrayarak karıştırın.",4.0
168,Kuru Üzüm,87.19999999999999,0.9,20.0,0.4,avuç,1.0,1.0,gram,30,üzüm,"Kuru üzüm, doğal olarak kurutulmuş üzümlerden elde edilir ve atıştırmalık olarak tüketilir.",6.0
169,Tavuk Döner,288.48,20.64,7.2,19.68,porsiyon,1.0,1.0,gram,200,"tavuk, lavaş, sebzeler, sos","Tavuk döner, baharatlarla marine edilmiş tavuk etinin döner şeklinde pişirilip lavaş içinde sebzelerle birlikte sunulmasıyla hazırlanır.",4.0
170,Zeytinyağlı Patates,127.6,1.4,17.0,6.0,porsiyon,0.5,0.5,gram,100,"patates,zeytinyağı,soğan,sarımsak,limon suyu","Patatesler küp şeklinde doğranır, zeytinyağı ile sotelenir, soğan ve sarımsak eklenerek pişirilir. Limon suyu ile tatlandırılır.",4.0
171,Zeytinyağlı domates,57.68,0.97,3.1,4.6,kase,1.0,1.0,gram,100,"domates,zeytinyağı,soğan,limon suyu","Domatesler küp şeklinde doğranır, zeytinyağı ve diğer malzemelerle karıştırılarak servis edilir.",5.0
172,Tavuk tandır,425.53999999999996,36.57,4.79,28.9,porsiyon,1.0,1.0,gram,225,"tavuk, baharatlar, yoğurt","Tavuk parçaları baharatlarla marine edilir, ardından tandırda pişirilir.",4.0
173,Kumpir,252.0,9.7,12.8,18.0,porsiyon,1.0,1.0,gram,200,"patates, tereyağı, kaşar peyniri, zeytin, mısır, sucuk, sebzeler","Patatesler fırında pişirilip, içi açılarak tereyağı ve kaşar peyniri ile doldurulur, üzerine çeşitli malzemeler eklenir.",4.0
174,Nohut salatası,283.27,5.5,20.7,19.83,kase,1.0,1.0,gram,190,"nohut, domates, salatalık, soğan, zeytinyağı, limon suyu, tuz, karabiber","Nohut haşlanır, doğranmış sebzelerle karıştırılır, zeytinyağı ve limon suyu eklenir.",4.0
175,Kabak çekirdeği,56.839999999999996,2.44,1.42,4.6,avuç,1.0,1.0,gram,30,kabak çekirdeği,Kabak çekirdeklerini kavrulmuş olarak tüketin.,6.0
176,Meyve salatası,223.7,2.9,51.0,0.9,kase,0.5,0.5,gram,100,"elma, muz, portakal, üzüm, armut",Taze meyvelerin doğranarak bir kase içinde karıştırılması ile hazırlanır.,4.0
177,Közlenmiş sebzeler,115.44,4.76,10.6,6.0,porsiyon,1.0,1.0,gram,300,"patlıcan, biber, kabak, soğan, zeytinyağı",Sebzeler közlenerek zeytinyağı ile harmanlanır.,4.0
178,Sıcak süt,123.4,6.6,9.4,6.6,su bardağı,1.0,1.0,ml,200,süt,Sütü bir tencerede ısıtın ve sıcak servis yapın.,6.0
179,Kuruyemiş karışımı,146.98000000000002,6.12,7.0,10.5,avuç,1.0,1.0,gram,30,"badem, ceviz, fındık, kuru üzüm, kaju",Karışık kuruyemişleri bir kaseye alarak servis yapın.,6.0
180,Kivi,43.5,0.1,10.1,0.3,adet,1.0,1.0,gram,70,kivi,Kiviyi kabuğundan soyup dilimleyerek veya bütün olarak tüketebilirsiniz.,5.0
181,Tavuk köftesi,45.9,4.1,2.2,2.3,adet,1.0,1.0,gram,30,"tavuk eti, soğan, sarımsak, baharatlar, ekmek kırıntısı","Tavuk eti, soğan ve sarımsak rendelenip yoğrulur, baharatlar eklenir ve köfte şekli verilerek pişirilir.",15.0
182,Sebzeli kısır,179.39999999999998,4.6,31.7,3.8,kase,1.0,1.0,gram,100,"bulgur, domates, salatalık, biber, maydanoz, limon suyu, zeytinyağı","Bulguru sıcak su ile ıslatıp şişirin, doğranmış sebzeleri ve baharatları ekleyip karıştırın.",4.0
183,Fırın sebzeler,185.94,10.93,18.68,7.5,porsiyon,1.0,1.0,gram,230,"patates, havuç, kabak, biber, zeytinyağı, tuz, baharatlar",Sebzeleri doğrayıp zeytinyağı ve baharatlarla harmanlayarak fırında pişirin.,4.0
184,Meyveli granola,481.79999999999995,19.0,53.3,21.4,kase,1.0,1.0,gram,250,"yulaf, kuruyemiş, kuru meyve, bal, süt","Yulaf, kuruyemiş ve kuru meyveler karıştırılarak süt ile servis edilir.",4.0
185,Mandalina,97.4,1.0,16.6,3.0,adet,1.0,1.0,gram,125,mandalina,Mandalinayı soyup dilimleyerek servis edin.,8.0
186,Tavuk şiş kebap,37.6,0.61,5.55,1.44,adet,1.0,1.0,gram,30,"tavuk, biber, soğan, zeytinyağı, baharatlar","Tavuk parçaları, sebzeler ve baharatlarla marine edilip şişe dizilir, ızgarada pişirilir.",20.0
187,İskender kebap,746.2,48.2,77.6,27.0,porsiyon,1.0,1.0,gram,500,"kebap, pide, yoğurt, domates sosu, tereyağı","İskender kebap, ince dilimlenmiş döner etinin pide üzerinde servis edilmesi, üzerine yoğurt ve domates sosu eklenmesiyle hazırlanır.",4.0
188,Zeytinyağlı ıspanak,47.1,0.7,0.5,4.7,yemek kaşığı,4.0,1.0,gram,30,"ıspanak,zeytinyağı,soğan,sarımsak,limon","Ispanaklar zeytinyağı ile sotelenir, soğan ve sarımsak eklenir, limon suyu ile tatlandırılır.",20.0
189,Yerli armut,95.0,0.5,22.8,0.2,adet,1.0,1.0,gram,150,armut,"Yerli armut, taze olarak tüketilir veya tatlılarda kullanılabilir.",5.0
190,Kepek Ekmeği,53.82,1.5,11.1,0.38,dilim,1.0,1.0,gram,25,"kepek, un, su, tuz, maya","Un, su, tuz ve mayayı karıştırarak hamur elde edin, dinlendirin ve fırında pişirin.",10.0
191,Karpuz,22.5,0.4,5.0,0.1,dilim,1.0,1.0,gram,60,"su, şeker, lif, vitaminler",Karpuzu dilimleyip soğuk servis yapın.,10.0
192,Yeşil Salata,34.5,0.85,4.4,1.5,kase,1.0,0.5,gram,150,"marul, domates, salatalık, zeytinyağı, limon suyu","Marul, domates ve salatalığı doğrayın, zeytinyağı ve limon suyu ile karıştırın.",4.0
193,Antep Fıstığı,106.89999999999999,3.6,4.9,8.1,avuç,1.0,1.0,gram,20,antep fıstığı,"Antep fıstıkları, tuzlu veya çiğ olarak tüketilebilir.",6.0
194,Kuskus Pilavı,30.8,0.98,6.0,0.32,yemek kaşığı,3.0,1.0,gram,15,"kuskus, sebzeler, zeytinyağı, baharatlar","Kuskusu kaynar su ile haşlayın, sebzeleri soteleyin ve karıştırarak servis edin.",21.0
195,Roka Salatası,63.0,0.75,7.8,3.2,kase,1.0,1.0,gram,70,"roka, zeytinyağı, limon suyu, tuz, karabiber","Rokaları yıkayıp, zeytinyağı, limon suyu, tuz ve karabiber ile karıştırarak servis edin.",4.0
196,İncir,53.76,0.49,12.5,0.2,adet,1.0,1.0,gram,65,incir,Taze incirler yıkanır ve dilimlenerek servis edilir.,10.0
197,Sebzeli Omlet,377.20000000000005,8.4,5.8,35.6,porsiyon,1.0,1.0,gram,200,"yumurta, biber, domates, soğan, ıspanak","Yumurtalar çırpılır, doğranmış sebzeler eklenir ve tavada pişirilir.",5.0
198,Yeşil Biber,14.9,0.5,3.0,0.1,adet,1.0,1.0,gram,50,yeşil biber,Yeşil biberler doğranır ve zeytinyağı ile sote edilir.,10.0
199,Kaju,242.98000000000002,6.12,13.0,18.5,avuç,1.0,1.0,gram,30,"kaju, tuz, baharatlar",Kaju fıstıkları tuz ve baharatlarla kavrulur.,6.0
200,Köri Soslu Tavuk,55.5,7.5,2.1,1.9,yemek kaşığı,4.0,1.0,gram,40,"tavuk, köri sosu, soğan, sarımsak, krema","Tavuk parçaları, köri sosu ve krema ile pişirilir, yanında pilav ile servis edilir.",20.0
201,Makarna,30.380000000000003,0.86,6.24,0.22,yemek kaşığı,3.0,1.0,gram,25,"makarna, su, tuz","Makarna, kaynayan tuzlu suda haşlanarak pişirilir ve isteğe bağlı soslarla servis edilir.",21.0
202,Karışık Sebze Salatası,34.5,0.85,4.4,1.5,kase,1.0,0.5,gram,150,"domates, salatalık, havuç, yeşil biber, marul","Tüm sebzeleri doğrayıp bir kaseye alın, zeytinyağı ve limon suyu ile karıştırın.",4.0
203,Peynirli Menemen,111.4,5.0,2.6,9.0,porsiyon,0.5,0.5,gram,130,"yumurta, beyaz peynir, domates, biber, zeytinyağı","Yumurtalar, doğranmış domates ve biber ile birlikte zeytinyağında pişirilir, üzerine beyaz peynir eklenir.",4.0
204,Şeftali,52.7,1.0,11.5,0.3,adet,1.0,1.0,gram,120,şeftali,Şeftaliyi yıkayıp dilimleyerek tüketin.,5.0
205,Fıstık,232.39999999999998,11.9,3.0,19.2,avuç,1.0,1.0,gram,40,fıstık,Fıstıkları kavurarak veya çiğ olarak tüketebilirsiniz.,6.0
206,Pirinç Salatası,65.27,1.6,11.5,1.43,porsiyon,1.0,1.0,gram,130,"pirinç, domates, salatalık, zeytinyağı, limon suyu, maydanoz","Pirinç haşlanır, soğutulur. Doğranmış sebzeler ve sos eklenerek karıştırılır.",4.0
